species	NCBI.taxid	assembly_accession	clade	clade_group	expression_data	dnds_data	lht_data	Ne_data	nb_rnaseq	entire_taxonomy
Abrus_precatorius	3816	GCF_003935025.1	Embryophyta	Embryophyta	TRUE	TRUE	FALSE	FALSE	6	no rank:cellular organisms;superkingdom:Eukaryota;kingdom:Viridiplantae;phylum:Streptophyta;subphylum:Streptophytina;clade:Embryophyta;clade:Tracheophyta;clade:Euphyllophyta;clade:Spermatophyta;class:Magnoliopsida;clade:Mesangiospermae;clade:eudicotyledons;clade:Gunneridae;clade:Pentapetalae;clade:rosids;clade:fabids;order:Fabales;family:Fabaceae;subfamily:Papilionoideae;clade:50 kb inversion clade;clade:NPAAA clade;clade:indigoferoid/millettioid clade;tribe:Abreae;genus:Abrus;species:Abrus precatorius
Acanthaster_planci	133434	GCF_001949145.1	Echinodermata	Other Metazoans	FALSE	TRUE	TRUE	FALSE	0	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Echinodermata;clade:Eleutherozoa;superclass:Asterozoa;class:Asteroidea;superorder:Valvatacea;order:Valvatida;family:Acanthasteridae;genus:Acanthaster;species:Acanthaster planci
Acanthisitta_chloris	57068	GCF_000695815.1	Aves	Aves	FALSE	TRUE	FALSE	FALSE	0	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;clade:Sauropsida;clade:Sauria;clade:Archelosauria;clade:Archosauria;clade:Dinosauria;clade:Saurischia;clade:Theropoda;clade:Coelurosauria;class:Aves;infraclass:Neognathae;order:Passeriformes;family:Acanthisittidae;genus:Acanthisitta;species:Acanthisitta chloris
Acanthocheilonema_viteae	6277	GCA_900537255.1	Nematoda	Nematoda	TRUE	TRUE	FALSE	FALSE	7	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;phylum:Nematoda;class:Chromadorea;order:Rhabditida;suborder:Spirurina;infraorder:Spiruromorpha;superfamily:Filarioidea;family:Onchocercidae;genus:Acanthocheilonema;species:Acanthocheilonema viteae
Acanthochromis_polyacanthus	80966	GCF_002109545.1	Teleostei	Teleostei	TRUE	TRUE	TRUE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Actinopterygii;class:Actinopteri;subclass:Neopterygii;infraclass:Teleostei;clade:Osteoglossocephalai;no rank:Clupeocephala;cohort:Euteleosteomorpha;clade:Neoteleostei;clade:Eurypterygia;clade:Ctenosquamata;clade:Acanthomorphata;clade:Euacanthomorphacea;clade:Percomorphaceae;clade:Ovalentaria;no rank:Ovalentaria incertae sedis;family:Pomacentridae;genus:Acanthochromis;species:Acanthochromis polyacanthus
Acanthopagrus_latus	8177	GCF_904848185.1	Teleostei	Teleostei	FALSE	TRUE	TRUE	FALSE	0	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Actinopterygii;class:Actinopteri;subclass:Neopterygii;infraclass:Teleostei;clade:Osteoglossocephalai;no rank:Clupeocephala;cohort:Euteleosteomorpha;clade:Neoteleostei;clade:Eurypterygia;clade:Ctenosquamata;clade:Acanthomorphata;clade:Euacanthomorphacea;clade:Percomorphaceae;clade:Eupercaria;order:Spariformes;family:Sparidae;genus:Acanthopagrus;species:Acanthopagrus latus
Acanthoscelides_obtectus	200917	GCA_933228535.1	Coleoptera	Coleoptera	FALSE	TRUE	FALSE	FALSE	0	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Protostomia;clade:Ecdysozoa;clade:Panarthropoda;phylum:Arthropoda;clade:Mandibulata;clade:Pancrustacea;subphylum:Hexapoda;class:Insecta;clade:Dicondylia;subclass:Pterygota;infraclass:Neoptera;cohort:Endopterygota;order:Coleoptera;suborder:Polyphaga;infraorder:Cucujiformia;superfamily:Chrysomeloidea;family:Chrysomelidae;subfamily:Bruchinae;tribe:Bruchini;genus:Acanthoscelides;species:Acanthoscelides obtectus
Accipiter_gentilis	8957	GCF_929443795.1	Aves	Aves	FALSE	TRUE	TRUE	FALSE	0	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;clade:Sauropsida;clade:Sauria;clade:Archelosauria;clade:Archosauria;clade:Dinosauria;clade:Saurischia;clade:Theropoda;clade:Coelurosauria;class:Aves;infraclass:Neognathae;order:Accipitriformes;family:Accipitridae;subfamily:Accipitrinae;genus:Accipiter;species:Accipiter gentilis
Acinonyx_jubatus	32536	GCF_003709585.1	Mammalia	Mammalia	TRUE	TRUE	TRUE	FALSE	2	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Sarcopterygii;clade:Dipnotetrapodomorpha;clade:Tetrapoda;clade:Amniota;class:Mammalia;clade:Theria;clade:Eutheria;clade:Boreoeutheria;superorder:Laurasiatheria;order:Carnivora;suborder:Feliformia;family:Felidae;subfamily:Acinonychinae;genus:Acinonyx;species:Acinonyx jubatus
Acipenser_ruthenus	7906	GCF_010645085.1	Vertebrates	Other Vertebrates	TRUE	FALSE	TRUE	FALSE	50	no rank:cellular organisms;superkingdom:Eukaryota;clade:Opisthokonta;kingdom:Metazoa;clade:Eumetazoa;clade:Bilateria;clade:Deuterostomia;phylum:Chordata;subphylum:Craniata;clade:Vertebrata;clade:Gnathostomata;clade:Teleostomi;clade:Euteleostomi;superclass:Actinopterygii;class:Actinopteri;subclass:Chondrostei;order:Acipenseriformes;suborder:Acipenseroidei;family:Acipenseridae;subfamily:Acipenserinae;tribe:Acipenserini;genus:Acipenser;species:Acipenser ruthenus
